time,Load,avg_p,avg_s1,max_d
6.06e-06,-22417.388611683,-178.28399123545,-26.314419885429,0
6.08e-06,-23194.950019732,-184.46751556797,-30.295271627951,0
6.1e-06,-23616.432223682,-187.81915705662,-32.315703909182,0
6.12e-06,-23579.162106461,-187.52239013141,-31.810461221104,0
6.14e-06,-23086.51738709,-183.60410111341,-28.798191997476,0
6.16e-06,-22246.797160532,-176.92559661507,-23.875215661893,0
6.18e-06,-21247.916816767,-168.98134926024,-18.076186008011,0
6.2e-06,-20313.842739152,-161.55252667503,-12.634222602366,0
6.22e-06,-19652.8700446,-156.295653428,-8.6961376857018,0
6.24e-06,-19409.687567576,-154.36139544123,-7.0585206239608,0
6.26e-06,-19632.256344172,-156.13115601988,-7.9853871676971,0
6.28e-06,-20261.077048583,-161.13172887648,-11.1491006213,0
6.3e-06,-21143.243214911,-168.14706820829,-15.707758658923,0
6.32e-06,-22067.965781636,-175.50081408495,-20.500793551456,0
6.34e-06,-22815.322190032,-181.44398553044,-24.317377559346,0
6.36e-06,-23206.960594289,-184.55821624331,-26.175584750113,0
6.38e-06,-23147.069099795,-184.08156509474,-25.547947267571,0
6.4e-06,-22644.195451158,-180.08203253653,-22.481575033978,0
6.42e-06,-21808.94547453,-173.43924824486,-17.585470469353,0
6.44e-06,-20828.167474926,-165.63916200998,-11.888385181723,0
6.46e-06,-19921.650777239,-158.42967953815,-6.6004103167354,0
6.48e-06,-19291.37654991,-153.4170729703,-2.8335680515021,0
6.5e-06,-19075.03831327,-151.69634972003,-1.3459159986585,0
6.52e-06,-19314.522977576,-153.60059929276,-2.3680236857379,0
6.54e-06,-19946.561119127,-158.6266454284,-5.5515080874492,0
6.56e-06,-20817.628929955,-165.55356286767,-10.05109074164,0
6.58e-06,-21719.596513511,-172.72617978936,-14.720873946206,0
6.6e-06,-22437.851239311,-178.43778500116,-18.379294074769,0
6.62e-06,-22800.773458454,-181.32358412384,-20.081512858476,0
6.64e-06,-22719.158404778,-180.67419704449,-19.336449391671,0
6.66e-06,-22206.525340039,-176.5971577789,-16.218581037361,0
6.68e-06,-21375.687791738,-169.98963084699,-11.349047726013,0
6.7e-06,-20412.448245572,-162.32921302016,-5.7508166160893,0
6.72e-06,-19532.553924251,-155.3316232376,-0.61169487013982,0
6.74e-06,-18931.88858254,-150.5546058873,2.9898913831499,0
6.76e-06,-18741.398555115,-149.03948595035,4.3330483137774,0
6.78e-06,-18997.120019535,-151.07281800382,3.219421244034,0
6.8e-06,-19632.162198464,-156.12264001087,0.017319889740693,0
6.82e-06,-20492.425651823,-162.963478937,-4.4248305950607,0
6.84e-06,-21372.36647973,-169.96076787224,-8.9753986504544,0
6.86e-06,-22062.512043589,-175.44871167003,-12.481147505913,0
6.88e-06,-22397.747823151,-178.11427934535,-14.033074533674,0
6.9e-06,-22295.243933585,-177.29880227905,-13.175205455131,0
6.92e-06,-21773.306129315,-173.14787484386,-10.008365327805,0
6.94e-06,-20946.858866313,-166.57542619504,-5.1652985499449,0
6.96e-06,-20000.670848512,-159.05079649899,0.33674527182066,0
6.98e-06,-19146.563787746,-152.25844694516,5.33159970427,0
7e-06,-18574.517421047,-147.70913469101,8.7733681436659,0
7.02e-06,-18408.956456758,-146.39229871879,9.9770769296183,0
7.04e-06,-18680.272826044,-148.54960295205,8.7754480241274,0
7.06e-06,-19318.095594258,-153.62142365183,5.5559397929462,0
7.08e-06,-20167.794708098,-160.37809797757,1.1698764153982,0
7.1e-06,-21026.352272728,-167.20518556833,-3.2650454014321,0
7.12e-06,-21689.28555169,-172.47661152598,-6.6230878361896,0
7.14e-06,-21997.779965282,-174.92947388014,-8.0299524399448,0
7.16e-06,-21875.167180325,-173.9541165732,-7.0635954782514,0
7.18e-06,-21344.366156205,-169.73281458229,-3.850234635784,0
7.2e-06,-20522.317559662,-163.19550789488,0.96630292876021,0
7.22e-06,-19592.760470244,-155.8033138112,6.3744616719012,0
7.24e-06,-18763.691866762,-149.2102389575,11.229159760794,0
7.26e-06,-18219.360872032,-144.88143467008,14.516073749676,0
7.28e-06,-18077.876572987,-143.75609471569,15.585014284231,0
7.3e-06,-18364.178439675,-146.03251959732,14.298722768845,0
7.32e-06,-19004.549948932,-151.12449515278,11.063064709466,0
7.34e-06,-19843.878223157,-157.79854870474,6.7320003939335,0
