time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
11,0.0023458245667311,8.5496883660676e-05,-2.1300554491401e-07,0.0022603276830705,1.2303319853374e-07,-8.9972346380276e-08,0.24126743368644,9.8951481579427e-05,0.0032877951040082,0,100.14035074805,0.0025383393142726,0.11308988418036,5.0694962119283e-06,0.24292411300464,0.12331053365411,0.0034642863060542,0.0013095592373949,0.022342685986712,0.2441965315622
11.25,0.0024029502430036,7.4119346506778e-05,-4.0760691475468e-07,0.0023288308964969,1.8891769863292e-07,-2.1868921612176e-07,0.2456042941428,9.8097838456567e-05,0.0036929682596763,0,100.20513431246,0.0026419493816954,0.11750126673276,6.438273072691e-06,0.24847090088483,0.12329643938016,0.0034362012485206,0.0013682448085635,0.026742450850532,0.25033217366686
11.5,0.002474340316225,7.3075405477866e-05,-6.7202288774336e-07,0.0024012649107472,2.9207721506425e-07,-3.7994567267911e-07,0.24931033840543,9.6963291318333e-05,0.0041274646160373,0,100.26170727005,0.0027569116960731,0.12348779534195,8.2542437227433e-06,0.25399478675981,0.12164212837289,0.0034108010850869,0.0014407137668829,0.036008555457895,0.25817604945541
11.75,0.0025585967717008,8.9110958871192e-05,-1.1245014115008e-06,0.0024694858128296,5.7348942081179e-07,-5.5101199068904e-07,0.25294427958845,9.5311886000438e-05,0.0045922806962735,0,100.28976597902,0.0028895128934851,0.13067355221889,1.0954259246247e-05,0.25949089156364,0.11919741144315,0.0033859958833568,0.0015270380119851,0.043900897690974,0.26816473109902
12,0.0026502433084452,0.00012121245413606,-1.9147467148091e-06,0.0025290308543091,1.2332061000033e-06,-6.8154061480581e-07,0.25745334218984,9.3074159112713e-05,0.0050886939413487,0,100.29574058847,0.0030383426873338,0.13794036368402,1.4884344370158e-05,0.26495724103794,0.11722515678865,0.0033602589342842,0.0016239043012498,0.047838982233329,0.27963221608956
12.25,0.0027429387866867,0.0001560280210621,-3.1924511966925e-06,0.0025869107656246,2.395031974687e-06,-7.9741922200558e-07,0.2633425111705,9.0298617611805e-05,0.0056172686104223,0,100.28434038336,0.003189627532658,0.14446837895763,2.013690897028e-05,0.2703937149894,0.11599632424067,0.0033365457282182,0.0017250488074551,0.046618587093607,0.29143941225543
12.5,0.0028184576040732,0.00017181949405022,-4.9134697602707e-06,0.002646638110023,4.038247600972e-06,-8.7522215929868e-07,0.27007454559178,8.7006297613296e-05,0.0061770661163015,0,100.25803740632,0.0033207412918298,0.15065277866274,2.6551594090691e-05,0.27580196122008,0.11455574976775,0.0033172542985088,0.0018235674171436,0.041531956125238,0.30245823015778
12.75,0.0028586647995497,0.00015239203054576,-6.7746080545958e-06,0.0027062727690039,5.9555501608141e-06,-8.1905789378167e-07,0.2766123141457,8.3197916140934e-05,0.0067689977098293,0,100.22150163129,0.0034143953186169,0.15731916297022,3.3883777488258e-05,0.28118499508559,0.11236687914847,0.0033014909138952,0.0019151416834758,0.035926852303241,0.31214058121134
13,0.0028610503670796,0.00010264194274574,-8.3923498677881e-06,0.0027584084243339,7.7469270867029e-06,-6.4542278108529e-07,0.28236073175479,7.8912039929055e-05,0.0073941099850222,0,100.1636673596,0.0034752520543977,0.16440188436167,4.1969261125624e-05,0.28654695858148,0.11002038825089,0.0032883384427868,0.0020000792970836,0.033012555049272,0.3207580071304
13.25,0.0028581603909446,5.1534465906616e-05,-9.4559048557542e-06,0.002806625925038,8.9509775479234e-06,-5.0492730783078e-07,0.28732862844873,7.4209425198581e-05,0.0080503773856655,0,100.07670679686,0.003533185845103,0.17137333508008,5.0770886870046e-05,0.29189469841461,0.10786473801561,0.0032781645392263,0.0020824292676417,0.033889351376664,0.32912074543365
13.5,0.0028839528969401,3.3376747894215e-05,-9.8457996160069e-06,0.0028505761490459,9.3510337537086e-06,-4.9476586229831e-07,0.29190185594771,6.9071936910299e-05,0.0087360162021673,0,99.996075137421,0.0036233562558833,0.17827194939517,6.0352052146758e-05,0.2972375717376,0.10558564841911,0.0032705822971416,0.0021665389255387,0.037227187450822,0.33801031278708
13.75,0.0029493561947228,5.8638783766828e-05,-9.7425349334441e-06,0.002890717410956,9.1674986486617e-06,-5.7503628478237e-07,0.29670147210318,6.3357797031229e-05,0.0094483721679644,0,99.976560834259,0.0037561256069254,0.18527720908578,7.08446325782e-05,0.30258250900973,0.1032086645391,0.003264533810987,0.0022537016936826,0.039704328517105,0.34762675228307
14,0.0030237369544371,0.00010260466710705,-9.5290382344475e-06,0.0029211322873301,8.8837583557398e-06,-6.4527987870773e-07,0.30208587390229,5.6883350531077e-05,0.010188836521468,0,100.0223983813,0.0039066248399109,0.19223759245579,8.2425653378726e-05,0.30792926394549,0.10093800669347,0.0032598541241112,0.0023416757121394,0.0395356853948,0.35753175402206
