time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
17.875,1.8852096661309e-05,-0.00011196847406431,0.00032255645198679,9.7903704894127e-05,-1.4064769170179e-05,0.0003414085486481,0.37392970458549,-0.00034229687340439,0.077814388379397,0,99.438127092947,0.0063952697333521,0.29148124020838,0.00090472043564617,0.37816035454757,0.064332131395754,0.00025801917300679,0.003612647639772
18.125,4.7761046987234e-06,-0.00013626290054016,0.00013822720456092,0.00012413216553853,-1.2130735001632e-05,0.00014300330925965,0.37940466538246,-0.00036873016968929,0.080045577332069,0,99.434420046775,0.0066045856100896,0.29840610936721,0.001014854105998,0.38362121858792,0.062320319427326,0.00037454904506283,0.0036939320587082
18.375,-1.9978449526498e-05,-0.00015157293314833,0.00030458427052583,0.00014023645151334,-1.1336481634991e-05,0.00028460582099933,0.38493370428063,-0.00040119349987352,0.082055760162262,0,99.397702191674,0.0068084519887671,0.30534250993823,0.0011209108911692,0.38913992679856,0.060402951365383,0.00046195656012721,0.0037758348142284
18.625,-4.3836850627605e-05,-0.0001589379045585,0.0006698807621012,0.00014473846131247,-1.419944324603e-05,0.0006260439114736,0.39052135216199,-0.00043513498228693,0.083757280238209,0,99.338443723321,0.0070095420562268,0.31225279099466,0.0012480746980707,0.39472116885378,0.058608664435042,0.00051379057740958,0.003858257782391
18.875,-5.6668361677868e-05,-0.00015788225431056,0.00095657662887723,0.00013993863575952,-1.7943618551038e-05,0.00089990826719936,0.39616706717545,-0.00044807434296825,0.085191281335398,0,99.267760586895,0.0072170312080279,0.31914937560254,0.0013464510187712,0.40037150512171,0.056949046707362,0.00057022512346183,0.0039410801096062
19.125,-5.9452514995638e-05,-0.00015229203732358,0.00097164092852414,0.0001330745033542,-1.9217533969383e-05,0.0009121884135285,0.40187742184409,-0.00043378645418232,0.086469295505253,0,99.17623605503,0.0074303959991616,0.32602581569253,0.0013704250675174,0.40609858235139,0.055451059184396,0.00064425248937346,0.0040242745501028
19.375,-6.0044119734674e-05,-0.00015301192814197,0.00084109791247863,0.00013129790491689,-2.171402322508e-05,0.00078105379274395,0.40766593060579,-0.00039863783087044,0.087704533462244,0,99.014677147607,0.007639760483595,0.33285893071861,0.0013392867436077,0.41191317152348,0.05414237599275,0.00072621097436987,0.0041078723592962
19.625,-6.8984329120363e-05,-0.00016586903567915,0.00072704102380089,0.00013873752602917,-2.7131509649982e-05,0.00065805669468053,0.41354694159058,-0.00034901264658919,0.088969221262845,0,98.695292788934,0.0078370612883742,0.33965499555982,0.0012871228449736,0.41783547829022,0.053000583349371,0.00082471911049768,0.0041919225873192
19.875,-9.9421009850806e-05,-0.00018284475313673,0.0007135518418595,0.00015179068165934,-3.1054071477382e-05,0.00061413083200869,0.41954125347637,-0.00029015624978727,0.090290422802963,0,98.112981860789,0.0080161888178664,0.34644797457749,0.0012179204019156,0.42390483419673,0.051994862387629,0.00094325997675142,0.0042765568547341
20.125,-0.00016312535477792,-0.00019007606775076,0.00072203476475231,0.00016059908767782,-2.9476980072939e-05,0.00055890940997438,0.42569036239992,-0.00016082636763527,0.091695858073941,0,97.16320662994,0.008170814933996,0.35329493578614,0.0011239086738509,0.43019057146618,0.051097097834962,0.0010614321414223,0.0043621104455657
20.375,-0.00026941800181408,-0.00018423309760519,0.00077631810434541,0.00016248621021507,-2.1746887390123e-05,0.00050690010253134,0.43206644610046,-4.962085895444e-05,0.09294774310601,0,95.749482824124,0.0082971020319957,0.3602215985615,0.0010046006219885,0.43680282085618,0.050464705499242,0.001165156673064,0.0044492186069667
