time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
17.5,0.0033785167863169,0.0001399039202327,-1.8825052985587e-05,0.0032386128660842,2.0367880033051e-05,1.5428270474643e-06,0.36998948062261,-3.8506718608509e-05,0.017819488246708,0,99.956547790657,0.0062064848975795,0.28065481499416,0.00032999210756869,0.37390719224951,0.071169312786845,0.00010788688658843,0.0034915748441839
17.75,0.0034231314538178,0.00013778926034744,-2.7548014390726e-05,0.0032853421934704,2.5452600722125e-05,-2.0954136686012e-06,0.37555073481653,-4.776647340544e-05,0.018111104063355,0,100.03713415052,0.0064126203377041,0.28748640381858,0.00039751528002503,0.37942877036095,0.0694221662764,0.00012706730432974,0.0035722021508142
18,0.0034604911062425,0.00012183958929333,-3.6995061206251e-05,0.0033386515169492,3.1576932316094e-05,-5.4181288901571e-06,0.38110260436005,-5.3882601761801e-05,0.018432649043315,0,99.952817982458,0.0066081951077314,0.29454797035428,0.00046501225903979,0.38495297063396,0.067587509843255,0.00018527223999137,0.0036531931826403
18.25,0.0034869046364658,0.00010723221565699,-4.5711302335769e-05,0.0033796724208088,3.8442558666831e-05,-7.2687436689382e-06,0.38668414045151,-5.5843940742991e-05,0.018768747698876,0,99.864816640083,0.0068160640459051,0.30150085116277,0.00051680736718316,0.39050866977357,0.065993702470138,0.00027386001063825,0.0037347775650671
18.5,0.0034982841249966,0.00010282253326524,-5.2618921765087e-05,0.0033954615917314,4.4688599197103e-05,-7.9303225679842e-06,0.39232877652638,-5.6773753969543e-05,0.019095780810792,0,99.868910058727,0.0070393266467668,0.30826793039774,0.00055080007848252,0.39612513042271,0.064538748869374,0.00033479684129578,0.0038169596774288
18.75,0.0034899450009835,0.00010360042588614,-5.6811091256373e-05,0.0033863445750973,4.8864029532067e-05,-7.9470617243061e-06,0.39802691621931,-5.8593319324834e-05,0.019396501461037,0,99.897588769666,0.0072642941382678,0.31507845196603,0.0005738658806671,0.40180059054581,0.062999368528961,0.00032767359394099,0.0038996088464553
19,0.0034620584773233,0.00010153845769859,-5.7642008181559e-05,0.0033605200196247,5.0770432724051e-05,-6.8715754575084e-06,0.40375817194117,-5.8784290790694e-05,0.019662481112707,0,99.866785997622,0.0074806179289497,0.32198152735968,0.00058460182401305,0.40752088396028,0.061536638466308,0.00028058719650816,0.0039826415351334
19.25,0.0034331496120848,9.512921373798e-05,-5.5655244374306e-05,0.0033380203983469,5.1395064516647e-05,-4.2601798576587e-06,0.4095288967231,-5.4911492997239e-05,0.019895182991138,0,99.769308465579,0.0076883493134981,0.32874504011968,0.0005732931339156,0.4132907156312,0.060412809510148,0.0002506348071398,0.0040660675748888
19.5,0.0034196956134416,8.6493725304329e-05,-5.3135782247591e-05,0.0033332018881373,5.1871644546826e-05,-1.2641377007655e-06,0.4153662697223,-4.9024400579343e-05,0.020108767641896,0,99.614160328509,0.0078905392426285,0.33529957751802,0.00054066745903283,0.41913884906352,0.059546333257322,0.00025671454026262,0.0041499265456082
19.75,0.0034207929614734,7.2505762102105e-05,-5.3230166125125e-05,0.0033482871993713,5.3136280135235e-05,-9.3885989889934e-08,0.42129599142388,-4.4066189892316e-05,0.020328136581356,0,99.360855398874,0.0080859059417637,0.34180030758884,0.0005010593479516,0.42510562805685,0.058809832979636,0.00028102929538895,0.0042342847085238
