time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
44,0.0069760540224411,-0.016745471800709,-0.00065322885539487,0.02372152582315,-0.0011326747123914,-0.0017859035677863,2.079643502441,0.00027416293250427,0.47999531946638,0.08061080660695,99.466955559396,0.050562103472184,1.9193781851789,0.0026339301758605,2.1288742340025,0.075754511750416,0.00052084760523765,0,0.024141714581691
44.25,0.0097828893814568,-0.014981107090719,-0.00074320452120655,0.024763996472175,-0.00092712632240236,-0.0016703308436089,2.1100328898598,0.00026352460577777,0.48403519249007,0.080568450825995,101.33499958183,0.052579228038543,1.9450382692585,0.0027018457623378,2.1585784885549,0.078761435964281,0.00051104531558555,0,0.024474045784333
44.5,0.0119035413333,-0.013610056841662,-0.00080043129011546,0.025513598174962,-0.00028217640341596,-0.0010826076935314,2.1408910970366,0.00024464416961457,0.48820366865588,0.080610384422704,102.65155659697,0.054155557834882,1.9710898610303,0.0027698501435067,2.1881269160965,0.081168589193559,0.00051379689319287,0,0.024802305340147
44.75,0.01220586642003,-0.012828285150071,-0.00082283042085356,0.0250341515701,0.00052110733937942,-0.00030172308147413,2.1716032114675,0.00022236315936276,0.49213337628327,0.080736998213087,103.08735633084,0.055119991627782,1.9975750708505,0.0028474362898537,2.2173636683554,0.082829024015774,0.00052340858536061,0,0.025123668590051
45,0.0095446982815403,-0.012647838785925,-0.00079424459538603,0.022192537067466,0.00077498048831351,-1.9264107072524e-05,2.2016469668195,0.00020296007161193,0.49613186277669,0.080819771216456,102.50437854857,0.055464163838304,2.0244403744091,0.0029399326643066,2.2462544183891,0.083657964456958,0.00051277674420394,0,0.025436590407636
45.25,0.0049314872579807,-0.012935745119973,-0.00077769117936666,0.017867232377954,0.00017899091160246,-0.00059870026776421,2.2307126675762,0.0001935129580575,0.50027980390772,0.080864459933526,101.02733602128,0.055296301950252,2.0516200522588,0.0030377695712943,2.2748963698403,0.083883413697911,0.00049832759011007,0,0.025741064003848
45.5,0.0018940622438445,-0.013470217629228,-0.00078099481875194,0.015364279873072,-0.00080360297317817,-0.0015845977919301,2.2587595920037,0.00019664426348184,0.50473079195727,0.080934397014776,99.051579262451,0.05481040282313,2.0789499484964,0.0031289069940451,2.3034298016992,0.083843415059509,0.00049075239213899,0,0.026038440298543
45.75,0.00074405571757839,-0.013948167991749,-0.00076491597579273,0.014692223709328,-0.0014464786269284,-0.0022113946027212,2.286027832034,0.00020333552079622,0.50951225128218,0.081022653537834,97.156659330224,0.054301716285891,2.1063449199057,0.0032123249404942,2.332069339105,0.08377769548641,0.00047895081845768,0,0.026330900181935
46,0.00033736860019244,-0.014004729141425,-0.00071178593075617,0.014342097741617,-0.0014138869175863,-0.0021256728483425,2.3130113750773,0.00020352893962287,0.51410698068843,0.081052339616571,95.930102331285,0.05414722035488,2.1338261393194,0.0032839489018311,2.3610226735723,0.083873539168778,0.00046596922335903,0,0.026620782328859
46.25,0.00058581198349698,-0.013342578407885,-0.00065501034533851,0.013928390391382,-0.0010486319656453,-0.0017036423109838,2.3403525966498,0.00020182638218175,0.51848483437578,0.080968151594412,95.756702425884,0.054667573752145,2.161427343512,0.0033452674724627,2.3904272706084,0.084278532717476,0.00046352541098577,0,0.02690999673108
46.5,0.00045268432299254,-0.011927480343231,-0.00066425152087072,0.012380164666224,-0.000964372100919,-0.0016286236217897,2.3686360407923,0.00020291970698422,0.52277972202335,0.08085677642762,96.658637222808,0.055926158553213,2.1893658970169,0.0034134199160435,2.4202992089792,0.084821359645408,0.00046456274920386,0,0.027199701041993
46.75,-0.00084279138362052,-0.010075321357482,-0.00072124695890529,0.009232529973861,-0.001131551382469,-0.0018527983413743,2.3981506578124,0.00019549468349793,0.52716036010877,0.080873759913064,98.263863563453,0.057638862409502,2.2177185819216,0.0034956524502833,2.4505243817758,0.085553806485838,0.00047658580683484,0,0.027490305409113
47,-0.0029249143096676,-0.0083179291893741,-0.00078376732268894,0.0053930148797065,-0.0011301086775107,-0.0019138760001996,2.4287594713579,0.00017378910878198,0.531751628688,0.081027863867267,99.937411201427,0.059308409734989,2.2463136232073,0.0035824536976926,2.4809533205693,0.086391325495596,0.00050590050943615,0,0.027781739095265
47.25,-0.0050245555792305,-0.0071233857755457,-0.00085588338097206,0.0020988301963152,-0.00080604214497803,-0.0016619255259501,2.4599802710988,0.00014448422349278,0.53648815750088,0.081169912388869,101.04245043326,0.060503002474434,2.2752291774942,0.0036733375071943,2.5113294818382,0.086863955499698,0.00052920959592094,0,0.028073807885583
47.5,-0.0064053801757126,-0.006664926710437,-0.0009113367861708,0.00025954653472439,-0.00014778842717785,-0.0010591252133487,2.491240907257,0.0001128402206171,0.54122013002516,0.081180229861252,101.2259980975,0.06107175409053,2.3046861307942,0.0037754595234875,2.5415285164595,0.086644277696511,0.00053987637513757,0,0.028366442981794
47.75,-0.0073037141137012,-0.0067813625174195,-0.00092804311448404,-0.00052235159628174,0.00055266670777562,-0.00037537640670843,2.5221475507965,8.6387232157395e-05,0.54584807569665,0.081053106416333,100.5859513352,0.061162162711025,2.3347975606745,0.0039032172855758,2.5715468704695,0.085675715958091,0.00054489786321241,0,0.028659711864788
48,-0.0077991417742392,-0.0071102426667804,-0.00088332884165456,-0.00068889910745885,0.0010042165971752,0.00012088775552068,2.5526227583856,7.3529234149217e-05,0.55039908376678,0.080870456207471,99.61239180637,0.061086524288346,2.3654965512861,0.0040810393142099,2.6014868853801,0.084154309889382,0.00053386177644941,0,0.028953602942749
48.25,-0.0091433789980314,-0.0072695684294976,-0.00077857634114632,-0.0018738105685339,0.0013114443737713,0.00053286803262502,2.5828842798156,5.976606899391e-05,0.55469011160438,0.080743997707377,98.913039103805,0.061166951174221,2.3967188062448,0.004316814824385,2.6314973619933,0.082295946365812,0.00051469542074737,0,0.029247736437641
48.5,-0.010331048124826,-0.007011000015393,-0.00068739196958546,-0.0033200481094333,0.0018471438241983,0.0011597518546129,2.613303281696,3.0044183610528e-05,0.5590623835833,0.080780877844219,98.872264586313,0.061617234435265,2.4282932165031,0.0045938142791045,2.6617123659755,0.080469265733556,0.00049658583304888,0,0.029541213134413
48.75,-0.0087156276519657,-0.0063281129312088,-0.00076916432582982,-0.0023875147207569,0.0024831512801144,0.0017139869542846,2.644201882738,-9.4375466565985e-06,0.56360179565891,0.080891969632544,99.452183000594,0.062452844370769,2.4599691523689,0.0048608927486736,2.6922362497146,0.078872464056865,0.00051145327216322,0,0.029832751112208
49,-0.0046230734688867,-0.0054662728034139,-0.0010188751011054,0.00084319933452723,0.0028210202666596,0.0018021451655542,2.6756858772703,-4.8578589401754e-05,0.56838999289603,0.080950376383086,100.25803927196,0.063464896854088,2.4917173279135,0.0050648040055413,2.7230107963579,0.077450553666644,0.00054509563977478,0,0.030121107047668
49.25,-0.00057077384811244,-0.0047807281389705,-0.0013081875238936,0.0042099542908581,0.0029119404823828,0.0016037529584892,2.7076112896852,-7.6935553111519e-05,0.57345003612412,0.080969425938774,100.81055632657,0.064331953455788,2.5235523655078,0.005205747509143,2.7539823190184,0.076130797107076,0.00055271130554945,0,0.030405613890809
49.5,0.00042573875368471,-0.0045039992822584,-0.0015105331069145,0.0049297380359431,0.0029993554792482,0.0014888223723336,2.7397032900898,-8.7318893708035e-05,0.57862467761985,0.081020857329706,100.83546116657,0.064841696591483,2.5555154532786,0.0052941717106485,2.7851097538819,0.074724422026673,0.00054063258772082,0,0.030686579496985
49.75,-0.0033150168315844,-0.0045924307852712,-0.001616678685238,0.0012774139536867,0.0028777903077752,0.0012611116225372,2.7717393858337,-7.4392803732848e-05,0.58369041418781,0.08099068234923,100.39249516971,0.065048526116433,2.587798465972,0.0053156454266761,2.8164120580699,0.073028964229514,0.00053720964887869,0,0.030965333357101
50,-0.0087608045668994,-0.0047870297980428,-0.0016528801993248,-0.0039737747688566,0.0023162972090787,0.00066341700975388,2.8036712547379,-4.1052747426222e-05,0.58853301643456,0.080904356221086,99.790577671196,0.065213546033261,2.6203716423824,0.0052607835202443,2.8479547386517,0.071247281992156,0.00054661103671676,0,0.031243869565293
50.25,-0.011930983363922,-0.0048412605014193,-0.00164520459794,-0.0070897228625023,0.0014838286259822,-0.0001613759719578,2.8356113719786,-6.731241128448e-06,0.59339428998767,0.080842033197967,99.366462877438,0.065576146929187,2.6531327774475,0.005139795226136,2.8797190739234,0.069409828631709,0.00055907130625133,0,0.031524237440918
50.5,-0.011514447696586,-0.0047150749584558,-0.0016440713742444,-0.0067993727381307,0.00073873576483191,-0.00090533560941253,2.8677099594965,1.5431962442588e-05,0.59872926946212,0.080753672410037,99.269591509565,0.0661675494981,2.6861028956083,0.004973546791357,2.9117127156177,0.0675921957915,0.00056692889314885,0,0.03180796625596
50.75,-0.007286696490486,-0.0045720549351009,-0.0016303860962002,-0.002714641555385,0.00018023170704962,-0.0014501543891506,2.9000292101997,3.3251583430638e-05,0.60401376512065,0.080762181263076,99.383138938012,0.066818708972676,2.7190781595518,0.0048028568652653,2.9439148468649,0.066049227251497,0.0005592366825684,0,0.032095792033165
51,-0.0025943066662657,-0.0046129431584581,-0.001545599673396,0.0020186364921923,-0.00013677125073502,-0.001682370924131,2.932508306364,5.9038033869583e-05,0.6088751146513,0.080895437525893,99.428192092166,0.067317218983393,2.75199904457,0.0046662338261358,2.9762992187808,0.064670206897074,0.00054417384736777,0,0.032387782696289
51.25,-0.00014771257159852,-0.0049283983014204,-0.0013646170662596,0.0047806857298218,4.613381922931e-06,-0.0013600036843366,2.9650270894559,8.8472920247178e-05,0.61381808146452,0.080951400322354,99.174816449544,0.067553448071092,2.7850094429897,0.0045534439811456,3.008864213201,0.063332614762431,0.00055362735334841,0,0.03268373262134
51.5,-0.00094921952498953,-0.0054776683463089,-0.0011287229453753,0.0045284488213194,0.00030717843362132,-0.00082154451175399,2.9975038615144,0.00010776944734948,0.6186778030933,0.080974571972794,98.600568102498,0.067560087088339,2.8181811644691,0.0044493757192756,3.0417147444609,0.062059656496595,0.0005709824519987,0,0.032983559829313
51.75,-0.0021834396500773,-0.0061375755087616,-0.00086801166800313,0.0039541358586843,0.0003622155644597,-0.00050579610354343,3.0299505467856,0.00011226114430853,0.62364945746453,0.081038321490787,97.876280124281,0.067465563694881,2.8515808574795,0.0043846731738537,3.0748753831395,0.060901350389792,0.00057065065436123,0,0.033287473911034
52,-0.0039360720191446,-0.0067649951089338,-0.00062456829353864,0.0028289230897892,-2.1267192505818e-05,-0.00064583548604445,3.0624590885364,0.00010162605005509,0.62866299029586,0.081131383496976,97.204412777106,0.067414469995772,2.8853001633107,0.0044004865884862,3.1084333394551,0.059792507998215,0.0005505340382339,0,0.033595857397011
52.25,-0.0059698552855197,-0.0072740736911739,-0.00050163544975698,0.0013042184056543,-0.00062307442131261,-0.0011247098710696,3.095148890415,8.4786220181269e-05,0.63338958742154,0.08121103319486,96.659432665884,0.067492997970911,2.9192847231913,0.0045023500382355,3.1424781522502,0.059017869364908,0.00053149745642901,0,0.033908991486393
52.5,-0.0064667599635745,-0.0076674916850582,-0.00056512320339311,0.0012007317214837,-0.00092041470082603,-0.0014855379042191,3.1281163570247,6.5902286177409e-05,0.63766692167539,0.081167056036817,96.166621022937,0.067706748862639,2.9535115169736,0.004648354770518,3.1770929905939,0.058512173511045,0.00054125892472868,0,0.034226833630709
52.75,-0.0043549044738681,-0.0079585420305831,-0.00074805198962829,0.003603637556715,-0.0006923425405134,-0.0014403945301417,3.1614177668632,3.818745253971e-05,0.64197287608211,0.081008210336674,95.622678266124,0.068033655541232,2.9881812874434,0.0047950145360225,3.2124165050946,0.058065342998001,0.00056223754428675,0,0.034548984183244
53,-0.00037834155602246,-0.008088797347813,-0.00092010715188289,0.0077104557917906,-0.00012839694296769,-0.0010485040948506,3.1950977672235,5.9575666699705e-06,0.64624752918049,0.08085044534156,95.038310631168,0.068483616361376,3.0234978885764,0.0049373426238312,3.2484563459865,0.057605771824348,0.0005650603100462,0,0.03487483217056
53.25,0.0035967775893293,-0.0079711900201471,-0.00099047098895676,0.011567967609476,0.00047141619873611,-0.00051905479022065,3.2292355035392,-1.9174312022681e-05,0.65049439166723,0.080784828754535,94.577611749103,0.069087365217769,3.0593765207135,0.0050817352969776,3.2852220985799,0.05732838883337,0.00055240367962971,0,0.035203757439911
53.5,0.0050380519737018,-0.0075710406354458,-0.00099696210788228,0.012609092609148,0.0011831655961688,0.00018620348828656,3.2639656479082,-3.9880612210186e-05,0.65474427528709,0.080753452538357,94.469495464227,0.069859863664069,3.0957536571895,0.005215933961828,3.3227058149555,0.057219344769281,0.00055521835996022,0,0.035535254707035
53.75,0.0024600045319951,-0.0068796359786937,-0.0010729073412349,0.0093396405106889,0.0020733921343848,0.0010004847931499,3.2994690310521,-6.135768087068e-05,0.6587256478876,0.080765319620182,94.871013063864,0.070822963282737,3.1325136775511,0.0053361359926336,3.3608585899861,0.057500757581802,0.0005696839693812,0,0.035868917952027
54,-0.0026161229691013,-0.0058500685377879,-0.0012556884920597,0.0032339455686866,0.0027349600298227,0.001479271537763,3.3359461295634,-8.0834537369511e-05,0.66235934139051,0.080829565422231,95.785461119689,0.072046012489084,3.1694896438046,0.0054579579152236,3.3995993341528,0.058151024321434,0.00057691607051757,0,0.036204312677846
54.25,-0.0056335248164641,-0.0044503656125427,-0.0014335847792325,-0.0011831592039213,0.0027715948340255,0.001338010054793,3.3735620364871,-9.602803449107e-05,0.66602204005802,0.080922978225656,97.077361795373,0.073594932959638,3.2066838030872,0.0055743887496198,3.4388256322426,0.059083489333327,0.0005770057311344,0,0.036540811758775
54.5,-0.0055811831313492,-0.0027998063624976,-0.0014917532285276,-0.0027813767688516,0.0021006781637161,0.00060892493518851,3.4123663667261,-0.00010470798160926,0.66972043405039,0.081002122741581,98.545216538725,0.075403591663166,3.2440248004998,0.0056635747904305,3.4784084645649,0.060294914271936,0.00057970871773586,0,0.036877470428823
54.75,-0.00368553375782,-0.0012012108865335,-0.0014329224882819,-0.0024843228712865,0.00098363999963321,-0.00044928248864867,3.4522347721401,-0.00011023283713381,0.67357088845235,0.081036151809514,99.980022277251,0.07722251105206,3.2814360761279,0.0057279431837707,3.5182015012231,0.061592084807152,0.00058598373357179,0,0.037212995512458
55,-0.0011321568208001,5.9491137832414e-06,-0.0013538064472294,-0.0011381059345834,-8.8391528049633e-06,-0.0013626456000344,3.4928679958344,-0.00012310424742451,0.67759721027717,0.081039606746537,101.17473414303,0.078734045745747,3.3191081801668,0.0057859425776106,3.5580533688144,0.062531067513227,0.00059551785912338,0,0.03754584604853
55.25,0.0015747423352501,0.00060926755233609,-0.0013453910218836,0.00096547478291404,-0.00013494772930024,-0.0014803387511839,3.5338483188334,-0.00014530476631495,0.68196471788662,0.081107284257926,101.9159603323,0.079718492654187,3.3571836085451,0.0058487167930444,3.5978338401264,0.063035451889903,0.00060152556900598,0,0.037874481484205
55.5,0.0035509338744395,0.00053655535960285,-0.001440234727358,0.0030143785148367,0.00083721664878181,-0.00060301807857615,3.5747320085662,-0.00016626534063937,0.68653665181951,0.081244088844543,102.01477292188,0.080111443712353,3.3955700684593,0.0059111521537985,3.6374632832332,0.063128355108239,0.00061128731897108,0,0.038197731187521
