time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum,tip_vel
30.6,-0.0067324549974538,-0.66516590921575,0.010121467297372,0.2,73.376532808588,0.36099341729765,23.737526225886,1.8049670864883
30.8,-0.007008110575921,-0.6891706496948,0.010168904579765,0.2,73.737526225886,0.3612864087735,24.098812634659,1.8064320438675
31,-0.0073538826719644,-0.7238016405439,0.010160080138031,0.2,74.098812634659,0.36123211265713,24.460044747316,1.8061605632857
31.2,-0.0077547716938442,-0.76683882702164,0.010112648734759,0.2,74.460044747316,0.36093864736119,24.820983394677,1.8046932368059
31.4,-0.008189933110966,-0.8155505389147,0.010042214087511,0.2,74.820983394677,0.36049774261011,25.181481137288,1.8024887130505
31.6,-0.0086244331074711,-0.86483059233845,0.0099723959627182,0.2,75.181481137288,0.36005455049733,25.541535687785,1.8002727524866
31.8,-0.0090012081328738,-0.90472547321316,0.0099491043409065,0.2,75.541535687785,0.35990531605645,25.901441003841,1.7995265802823
32,-0.0092593439320407,-0.92320807048123,0.010029530967179,0.2,75.901441003841,0.36041769122585,26.261858695067,1.8020884561292
32.2,-0.0093626024744934,-0.91284517907833,0.010256506458134,0.2,76.261858695067,0.36182034897523,26.623679044042,1.8091017448762
32.4,-0.0093098605364283,-0.87464945901816,0.010644104835872,0.2,76.623679044042,0.36407732103233,26.987756365075,1.8203866051617
32.6,-0.0091270069172251,-0.81651355843177,0.011178022487165,0.2,76.987756365075,0.36693000058539,27.35468636566,1.834650002927
32.8,-0.0088590163591571,-0.74964852287116,0.011817559948263,0.2,77.35468636566,0.37000769876872,27.724694064429,1.8500384938436
33,-0.0085743136327253,-0.6864623474955,0.012490581113455,0.2,77.724694064429,0.37290618403301,28.097600248462,1.864530920165
33.2,-0.0083764503615538,-0.64010551883861,0.013086046151815,0.2,78.097600248462,0.37522207446704,28.472822322929,1.8761103723352
33.4,-0.008397664944588,-0.62361959067714,0.013466005670973,0.2,78.472822322929,0.37659277607256,28.849415099001,1.8829638803628
33.6,-0.008744500261722,-0.64667161503895,0.013522319610696,0.2,78.849415099001,0.37678937391834,29.22620447292,1.8839468695917
33.8,-0.0094083138078162,-0.70936057196162,0.013263090986012,0.2,79.22620447292,0.37587053402457,29.602075006944,1.8793526701228
34,-0.010215284568157,-0.79453947300672,0.012856862264502,0.2,79.602075006944,0.37435612315369,29.976431130098,1.8717806157685
34.2,-0.010886695101082,-0.86614359177234,0.012569157359699,0.2,79.976431130098,0.37322435115761,30.349655481256,1.8661217557881
34.4,-0.011189804656817,-0.8870781399537,0.012614226585947,0.2,80.349655481256,0.37340505448253,30.723060535738,1.8670252724127
34.6,-0.01107427911562,-0.85016178368692,0.01302608436196,0.2,80.723060535738,0.37499845732809,31.098058993066,1.8749922866404
34.8,-0.010696653122399,-0.78405908976105,0.01364266196526,0.2,81.098058993066,0.37720406149244,31.475263054559,1.8860203074622
35,-0.010318077231725,-0.72597487805604,0.014212719397886,0.2,81.475263054559,0.37907300057113,31.85433605513,1.8953650028557
35.2,-0.01014491215711,-0.69716631372771,0.01455163847901,0.2,81.85433605513,0.3801147416131,32.234450796743,1.9005737080655
35.4,-0.010216501400619,-0.69772509009274,0.014642588529045,0.2,82.234450796743,0.38038608923517,32.614836885978,1.9019304461758
35.6,-0.010411143286144,-0.71213111089333,0.014619700118261,0.2,82.614836885978,0.3803181200366,32.995155006015,1.901590600183
35.8,-0.010555108641549,-0.72013961652571,0.014657030941405,0.2,82.995155006015,0.38042886804626,33.375583874061,1.9021443402313
36,-0.010545845005465,-0.70999411179124,0.014853426007801,0.2,83.375583874061,0.38100233812702,33.756586212188,1.9050116906351
36.2,-0.010406293954436,-0.68510287437591,0.015189388840202,0.2,83.756586212188,0.3819489612957,34.138535173484,1.9097448064785
36.4,-0.010255837650758,-0.65902472320626,0.015562144013144,0.2,84.138535173484,0.38295142067116,34.521486594155,1.9147571033558
36.6,-0.010235090162898,-0.64546551004558,0.015856912574887,0.2,84.521486594155,0.38371077755332,34.905197371708,1.9185538877666
36.8,-0.01042233524101,-0.65072870782618,0.016016406093143,0.2,84.905197371708,0.38410999744038,35.289307369149,1.9205499872019
37,-0.010775216488179,-0.67002339305188,0.016081851171045,0.2,85.289307369149,0.38427151833499,35.673578887484,1.921357591675
37.2,-0.011143553291056,-0.68904838580289,0.016172381389548,0.2,85.673578887484,0.38449279539269,36.058071682876,1.9224639769635
37.4,-0.011367997576304,-0.6933363630018,0.016396078704262,0.2,86.058071682876,0.38502908531322,36.443100768189,1.9251454265661
37.6,-0.011394307968656,-0.67989326326614,0.016758965832252,0.2,86.443100768189,0.38586861718149,36.828969385371,1.9293430859075
37.8,-0.011300374596452,-0.65839013546529,0.017163645060486,0.2,86.828969385371,0.38676296613966,37.215732351511,1.9338148306983
