time,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
53.25,3.128822065357,-0.0093429777491614,0.20521819227184,0.055649766194921,94.215523375815,0.067680232268222,2.9052391574384,0.015759908091252,3.1874943508385,0.076020058853746,0.0023611602916423,0.035601897958344,0.14174819100066,3.4290632536061
53.5,3.1615583432014,-0.0094886473677225,0.20731847426823,0.055725850966988,94.253038315361,0.068242774498015,2.938939298946,0.016257226011967,3.2230393616014,0.075835059526356,0.002406212216947,0.035939557809256,0.14416691022511,3.4648026412593
53.75,3.1950392120157,-0.0096245709659646,0.20947207160874,0.055808140583417,94.716252704088,0.069192185265298,2.9729269898715,0.016736473790134,3.2591996241179,0.075875692703329,0.0024522938471386,0.036282139443713,0.14655187194054,3.50114248903
54,3.2294802338565,-0.0097613474551354,0.21166439398676,0.055895221677119,95.530319296299,0.070485364358637,3.0071777955315,0.017242096900363,3.2959123851347,0.076183850603278,0.0024985104709123,0.036628881191428,0.14869485523702,3.5380483299272
54.25,3.2650115079378,-0.0099118862330559,0.2138895466852,0.05598619507134,96.579714001604,0.072042849749444,3.0416185717676,0.017785838351101,3.3330799249136,0.076759592486189,0.0025339458004631,0.036978145386424,0.15036831934813,3.5754312267504
54.5,3.3016540873777,-0.010061233854727,0.21612852383118,0.056079335884873,97.764290216456,0.073764735569921,3.0761568097549,0.018319352683407,3.3705799657582,0.077537676324047,0.0025466987029873,0.03732763243266,0.1514864584659,3.6131630739771
54.75,3.3392991534031,-0.010189829916427,0.21837301219588,0.056173519261928,98.962103121493,0.075499481799558,3.1108114918001,0.018808032640257,3.4082765118391,0.078334970763726,0.0025575990457202,0.037674780811936,0.15198752386421,3.6510973217684
55,3.37769332462,-0.010308493103927,0.22062200907933,0.056268431038101,99.986870157715,0.077040248406087,3.1456763660257,0.019221108147652,3.4460366735424,0.078910977905114,0.0025834753011902,0.038017221220264,0.15191567063397,3.6890852210806
55.25,3.4164613795562,-0.010417438410569,0.22286796179167,0.056360201563835,100.62066770519,0.078177321161408,3.180901280592,0.019561208041323,3.4837546386627,0.079037599930673,0.0026027793699543,0.038353191845733,0.15148494808024,3.7270102984199
55.5,3.4551780070781,-0.010486990117874,0.2251194364843,0.05645055001262,100.70015200687,0.078773822311355,3.2165745472677,0.019858661938546,3.5213753396302,0.078679109116136,0.0026222858877471,0.038681870224348,0.15093544968951,3.7648128481411
55.75,3.4934647853373,-0.010503103705999,0.22738115330617,0.056539612333381,100.18145699332,0.078819767841642,3.2525665957027,0.020097869565962,3.5589082446322,0.077985767060144,0.0026503003843388,0.039003586024652,0.15064407600341,3.8025102888528
56,3.5310796588014,-0.010507124155809,0.22963538306479,0.056630469776269,99.158604995531,0.078450254038,3.2887801387388,0.020397648452666,3.5964269908688,0.077199240671266,0.0026727654628741,0.039319857467474,0.15084365782383,3.8401962555812
56.25,3.5679814686915,-0.010546035871992,0.23187631652928,0.056724188139947,97.866662091849,0.07793761715703,3.3250383905645,0.020684155313767,3.6340547904542,0.076489839046795,0.0027130097532764,0.039633190481649,0.15159194799204,3.8780007063081
56.5,3.6043587840436,-0.010600767222163,0.23408039494578,0.056810995029174,96.661539070056,0.077639910123206,3.3613783557592,0.020904287924515,3.6719352537214,0.075907162881009,0.0027816798948846,0.039946629278199,0.15288803589989,3.9160607042946
56.75,3.640604378773,-0.010618069723876,0.23625121835753,0.05689272693309,95.921024396856,0.07788217505736,3.3980209487254,0.021103263963307,3.7101914516143,0.075386576837168,0.002850484328307,0.040263137653939,0.15456601134593,3.9544924602004
57,3.6772184651594,-0.010611041477003,0.23838637492611,0.056972633772726,95.886254709863,0.078822851482759,3.4350509073226,0.021269377582491,3.7488858906256,0.074908796761602,0.0029125770182615,0.040584973863682,0.15634381904794,3.9933561889996
