time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
15.5,0.0001881463838158,0.0011271542522451,0.0013153006360609,0.32188695901677,0.056136750987123,101.37448798621,0.004659965512772,0.23012480013814,0.32741436760035,0.081892070735213,0.0028428569148277
15.75,0.00015338273735534,0.00092538162088413,0.0010787643582395,0.32693174968756,0.058517751086613,100.67855425595,0.0047645983009598,0.23649679425898,0.33222846723186,0.079799611266824,0.0029243645659789
16,7.0562684762899e-05,0.00070475133631432,0.00077531402107722,0.33183343040941,0.060685830116727,99.204987090094,0.004834958603177,0.24283853730951,0.33703971837366,0.077762583408792,0.0030062924197401
16.25,1.8133825523552e-05,0.00068225025923217,0.00070038408475572,0.33677673465893,0.062685969501024,98.599464155813,0.0049558558291594,0.24919744098678,0.34199485167267,0.075889078004468,0.0030882436741172
16.5,3.512803379482e-05,0.00093150240389614,0.00096663043769096,0.34187575252266,0.064556059658856,99.249870083004,0.0051746843846746,0.25558901144012,0.34708130773199,0.074161462398456,0.0031695794616631
16.75,7.7229346509389e-05,0.0012851384449647,0.0013623677914741,0.34706184246432,0.066399360987176,100.06344916522,0.0054476714588973,0.26199299276497,0.3521816970735,0.072489850479912,0.0032500066116393
17,7.6066633725208e-05,0.0013746473075553,0.0014507139412805,0.3522141695811,0.068289219895827,99.982641089532,0.0056927390297595,0.26834543463845,0.35723360825805,0.070880354870364,0.0033299814539903
17.25,2.421863974272e-05,0.0011950327375442,0.0012192513772869,0.35733285333791,0.070253370254001,99.212280254765,0.0058816152528874,0.27463139724854,0.36229769277867,0.069313249898806,0.003410314516937
17.5,-2.2113747652736e-05,0.0012622418426257,0.001240128094973,0.36252756858557,0.072261684708029,98.741207834575,0.0060578063355207,0.28099049820556,0.36747162330644,0.067702056019729,0.0034913793890023
17.75,-1.9646350102376e-05,0.0018639236356758,0.0018442772855735,0.36786951699857,0.074248641229907,99.013268263378,0.0062683619624651,0.28757705127624,0.37277744884679,0.065979518685792,0.0035728323719113
18,1.0181540626262e-05,0.0027240455898494,0.0027342271304757,0.37331250870047,0.076149895630579,99.510757686006,0.00650540559606,0.29437834198988,0.37815902658063,0.064204426169214,0.0036541159183847
18.25,1.7875492265254e-05,0.0036450963764524,0.0036629718687177,0.37877536578295,0.077869144439936,99.587100778126,0.0067289710501455,0.30120135859127,0.38356944102555,0.062597554997621,0.0037351298044231
18.5,-7.7572949035828e-06,0.0041344461563339,0.0041266888614303,0.38425399867411,0.079267158357325,99.267518311393,0.0069278433214541,0.30789696571759,0.38902465327446,0.061228116503821,0.0038163739770903
18.75,-3.6674321450583e-05,0.0039183424316452,0.0038816681101946,0.38980912561537,0.080203249495689,99.027783705486,0.0071277298346129,0.31457006597037,0.39456845513284,0.059932162170309,0.0038985125531362
19,-4.9976618951074e-05,0.0033120858422069,0.0032621092232558,0.39547194809295,0.080728482448603,99.061835986067,0.0073427072007414,0.32138099766916,0.40021652496758,0.058649524690585,0.003981832151102
19.25,-6.1389687529014e-05,0.0027697152356468,0.0027083255481178,0.40121317200829,0.081072002267239,99.087105465707,0.0075529387201252,0.32825564134203,0.405957655961,0.05754756459436,0.0040660424444026
19.5,-8.4874405753517e-05,0.0026477316544135,0.0025628572486599,0.40700590886885,0.081385355792171,98.79618746621,0.0077401496995817,0.33499267145122,0.41179860088701,0.056756982356878,0.0041505415736613
19.75,-0.0001129635319147,0.002809432316908,0.0026964687849933,0.41287768206953,0.081648665777415,98.195385937421,0.0079145792666582,0.34160670963708,0.41778707207875,0.056153659769758,0.0042349564972833
20,-0.00014011919811744,0.0030357784101316,0.0028956592120142,0.41888489271002,0.081779503932754,97.416605304358,0.0080904046991039,0.34826161563931,0.42399480149766,0.055702321305526,0.0043195740424767
20.25,-0.00018663869493872,0.0034589433744059,0.0032723046794671,0.42506728434208,0.081776011867579,96.406918023873,0.0082577856641873,0.35496166394661,0.4305028350602,0.055567494625489,0.0044053328804217
20.5,-0.00028269795582267,0.0039200688550649,0.0036373708992422,0.43145712634825,0.081740787171651,94.96953697116,0.0083972494420586,0.36168755911232,0.43741893252381,0.055768789084368,0.0044934347326594
20.75,-0.00043613792442796,0.0040735225982933,0.0036373846738654,0.43812654517859,0.081808416665035,93.041092682526,0.0085080987961252,0.36863342659931,0.44490409100314,0.056160418067083,0.0045850342576075
