time,tip_velocity,tip_x,tip_y,tip_z
2.545e-05,1593443.5979914,40.421875000014,0.062499999999879,0
2.55e-05,1593443.5979912,40.500000000013,0.046874999999909,0
2.555e-05,1767766.9529626,40.562500000013,0.10937499999979,0
2.56e-05,1593443.5979912,40.640625000013,0.093749999999819,0
2.565e-05,1562499.999994,40.718750000012,0.093749999999819,0
2.57e-05,1562499.999994,40.796875000012,0.093749999999819,0
2.575e-05,1593443.5979912,40.875000000012,0.078124999999849,0
2.58e-05,1562499.999994,40.953125000012,0.078124999999849,0
2.585e-05,1562499.999994,41.031250000011,0.078124999999849,0
2.59e-05,1593443.5979912,41.109375000011,0.062499999999879,0
2.595e-05,1822172.4671316,41.187500000011,0.01562499999997,0
2.6e-05,1593443.5979923,41.26562500001,0.03124999999994,0
2.605e-05,1593443.5979923,41.34375000001,0.046874999999909,0
2.61e-05,1593443.5979912,41.42187500001,0.03124999999994,0
2.615e-05,2253469.547161,41.48437500001,0.12499999999976,0
2.62e-05,1593443.5979912,41.562500000009,0.10937499999979,0
2.625e-05,1593443.5979912,41.640625000009,0.093749999999819,0
2.63e-05,1593443.5979912,41.718750000009,0.078124999999849,0
2.635e-05,1593443.5979923,41.796875000008,0.093749999999819,0
2.64e-05,1562499.999994,41.875000000008,0.093749999999819,0
2.645e-05,1593443.5979912,41.953125000008,0.078124999999849,0
2.65e-05,1562499.9999939,42.031250000007,0.078124999999849,0
2.655e-05,1822172.4671315,42.109375000007,0.03124999999994,0
2.66e-05,2795084.9718703,42.171875000007,0.1562499999997,0
2.665e-05,1562499.999994,42.250000000007,0.1562499999997,0
2.67e-05,1562499.999994,42.328125000006,0.1562499999997,0
2.675e-05,1562499.9999939,42.406250000006,0.1562499999997,0
2.68e-05,1593443.5979912,42.484375000006,0.14062499999973,0
2.685e-05,1767766.9529629,42.546875000006,0.20312499999961,0
2.69e-05,1562499.9999942,42.625000000005,0.20312499999961,0
2.695e-05,1593443.5979912,42.703125000005,0.18749999999964,0
2.7e-05,1562499.9999939,42.781250000005,0.18749999999964,0
2.705e-05,1562499.9999939,42.859375000004,0.18749999999964,0
2.71e-05,1562499.999994,42.937500000004,0.18749999999964,0
2.715e-05,1562499.999994,43.015625000004,0.18749999999964,0
2.72e-05,1593443.5979923,43.093750000004,0.20312499999961,0
2.725e-05,1562499.999994,43.171875000003,0.20312499999961,0
2.73e-05,1593443.5979911,43.250000000003,0.18749999999964,0
2.735e-05,1593443.5979914,43.328125000003,0.17187499999967,0
2.74e-05,1562499.999994,43.406250000002,0.17187499999967,0
2.745e-05,1767766.952963,43.468750000002,0.23437499999955,0
2.75e-05,1562499.999994,43.546875000002,0.23437499999955,0
2.755e-05,1593443.5979911,43.625000000002,0.21874999999958,0
2.76e-05,1593443.5979912,43.703125000001,0.20312499999961,0
2.765e-05,1593443.5979923,43.781250000001,0.21874999999958,0
2.77e-05,1562499.999994,43.859375000001,0.21874999999958,0
2.775e-05,1562499.9999964,43.921875,0.26562499999949,0
2.78e-05,2096313.7288972,44.015625,0.21874999999958,0
2.785e-05,1682864.0022246,44.09375,0.24999999999952,0
2.79e-05,1397542.4859337,44.15625,0.28124999999946,0
2.795e-05,1593443.5979912,44.234374999999,0.26562499999949,0
2.8e-05,1562499.999994,44.312499999999,0.26562499999949,0
2.805e-05,1562499.999994,44.390624999999,0.26562499999949,0
2.81e-05,1397542.4859337,44.453124999999,0.29687499999943,0
2.815e-05,1593443.5979923,44.531249999998,0.3124999999994,0
2.82e-05,1562499.9999939,44.609374999998,0.3124999999994,0
2.825e-05,1562499.999994,44.687499999998,0.3124999999994,0
2.83e-05,1593443.5979923,44.765624999997,0.32812499999937,0
2.835e-05,1562499.999994,44.843749999997,0.32812499999937,0
2.84e-05,1593443.5979912,44.921874999997,0.3124999999994,0
2.845e-05,1593443.5979923,44.999999999996,0.32812499999937,0
2.85e-05,1562499.999994,45.078124999996,0.32812499999937,0
2.855e-05,1593443.5979911,45.156249999996,0.3124999999994,0
2.86e-05,1562499.9999966,45.218749999996,0.35937499999931,0
2.865e-05,1562499.999994,45.296874999995,0.35937499999931,0
2.87e-05,1593443.5979925,45.374999999995,0.37499999999927,0
2.875e-05,1562499.999994,45.453124999995,0.37499999999927,0
2.88e-05,1562499.999994,45.531249999995,0.37499999999927,0
2.885e-05,1562499.999994,45.609374999994,0.37499999999927,0
2.89e-05,1593443.5979923,45.687499999994,0.39062499999924,0
2.895e-05,1562499.999994,45.765624999994,0.39062499999924,0
2.9e-05,1562499.999994,45.843749999993,0.39062499999924,0
2.905e-05,1562499.9999943,45.921874999993,0.39062499999924,0
2.91e-05,1562499.9999939,45.999999999993,0.39062499999924,0
2.915e-05,1562499.9999942,46.078124999992,0.39062499999924,0
2.92e-05,1562499.9999966,46.140624999992,0.43749999999915,0
2.925e-05,1562499.9999942,46.218749999992,0.43749999999915,0
2.93e-05,1562499.9999942,46.296874999992,0.43749999999915,0
2.935e-05,1593443.5979925,46.374999999992,0.45312499999912,0
2.94e-05,1562499.9999939,46.453124999991,0.45312499999912,0
2.945e-05,1562499.999994,46.531249999991,0.45312499999912,0
2.95e-05,1593443.5979926,46.609374999991,0.46874999999909,0
2.955e-05,1562499.999994,46.68749999999,0.46874999999909,0
2.96e-05,1593443.5979923,46.76562499999,0.48437499999906,0
2.965e-05,1562499.999994,46.84374999999,0.48437499999906,0
2.97e-05,1562499.9999942,46.921874999989,0.48437499999906,0
