time,Fx,tip_velocity,tip_x,tip_y,tip_z
1.85e-05,156.85708730463,1562499.9999991,32.890624999993,0.01562499999997,0
1.855e-05,156.84630183001,1249999.9999993,32.953124999993,0.01562499999997,0
1.86e-05,156.8361249646,1562499.9999993,33.031249999993,0.01562499999997,0
1.865e-05,156.82658721999,1249999.9999994,33.093749999993,0.01562499999997,0
1.87e-05,156.81758670715,1562499.999999,33.171874999993,0.01562499999997,0
1.875e-05,156.808910934,1249999.9999994,33.234374999993,0.01562499999997,0
1.88e-05,156.80029020506,1562499.9999993,33.312499999993,0.01562499999997,0
1.885e-05,156.79146378237,1562499.9999991,33.390624999993,0.01562499999997,0
1.89e-05,156.78223697726,1249999.9999993,33.453124999993,0.01562499999997,0
1.895e-05,156.77251224775,1562499.9999993,33.531249999993,0.01562499999997,0
1.9e-05,156.76228768047,1249999.9999994,33.593749999992,0.01562499999997,0
1.905e-05,156.75162807625,1562499.999999,33.671874999992,0.01562499999997,0
1.91e-05,156.74062302156,1249999.9999994,33.734374999992,0.01562499999997,0
1.915e-05,156.72934949229,1562499.9999993,33.812499999992,0.01562499999997,0
1.92e-05,156.71785262457,1288470.5080047,33.874999999992,0.03124999999994,0
1.925e-05,156.70614919649,1593443.5979968,33.953124999992,0.01562499999997,0
1.93e-05,156.69424831513,1562499.9999993,34.031249999992,0.01562499999997,0
1.935e-05,156.68217733976,1249999.9999994,34.093749999992,0.01562499999997,0
1.94e-05,156.67000076315,1562499.999999,34.171874999992,0.01562499999997,0
1.945e-05,156.65782497748,1249999.9999994,34.234374999992,0.01562499999997,0
1.95e-05,156.64578929069,1562499.9999993,34.312499999992,0.01562499999997,0
1.955e-05,156.63404927391,1562499.9999991,34.390624999992,0.01562499999997,0
1.96e-05,156.62275998825,1249999.9999993,34.453124999992,0.01562499999997,0
1.965e-05,156.61206386845,1562499.9999993,34.531249999992,0.01562499999997,0
1.97e-05,156.60208321385,1249999.9999994,34.593749999992,0.01562499999997,0
1.975e-05,156.59291332372,1562499.999999,34.671874999992,0.01562499999997,0
1.98e-05,156.58461149783,1562499.9999993,34.749999999992,0.01562499999997,0
1.985e-05,156.57717981376,1249999.9999993,34.812499999992,0.01562499999997,0
