time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
37.75,0.024534232500424,0.037350800790065,-0.012816568289641,-0.0014503439132196,0.3644792185722,113.21685696458,0.033070234247044,0.41708584181064,0.49519513245391,0.1962833058113,0.0038175815838265,0,0
38,0.0224287749921,0.038086125741904,-0.015657350749804,-0.00041777259751499,0.36490464243643,162.37675457437,0.03292018850598,0.40184921789433,0.49519493039648,0.21128860117104,0.0037766448805287,0,0
38.25,0.023125654181023,0.039551018851923,-0.0164253646709,0.00040054507631996,0.36532924040017,199.90083603061,0.033467740071794,0.38711815035335,0.49519482117223,0.22354124152292,0.0037324080855075,0,0
38.5,0.023651397225621,0.040427197095872,-0.016775799870251,0.0010047524462781,0.36574774125722,221.10394874471,0.033937725743881,0.37627752457573,0.4951947849409,0.23115199558632,0.0037155661629213,0,0
38.75,0.020827623800318,0.037460516999867,-0.016632893199549,0.001387833398296,0.36612224385356,223.55304732545,0.031104003147865,0.36973171968965,0.49519479220643,0.23518828797261,0.0037260944477654,0,0
39,0.015149202611553,0.030630864794712,-0.01548166218316,0.0015860225279244,0.36641709953813,208.56947868508,0.024983076230409,0.36510137660606,0.49519482913765,0.23909310757052,0.0037192253444536,0,0
39.25,0.0088547731996077,0.024926227819506,-0.016071454619898,0.0016783655753331,0.36662353533238,181.73343417796,0.019648179405199,0.35899167178509,0.49519489298671,0.24611005523268,0.0036747286336545,0,0
39.5,0.0047383757287472,0.022148088859476,-0.017409713130729,0.0017123513170119,0.36680283207442,151.56541506111,0.017147264810274,0.34956203810521,0.49519497036217,0.25665964536135,0.0036152042446041,0,0
39.75,0.0078581417813573,0.023123470938409,-0.015265329157052,0.0017081063051476,0.36697316886886,126.78678244868,0.019042184196118,0.33783198124596,0.49519502947795,0.26825025608394,0.0035732283394053,0,0
40,0.011661290519343,0.025565115146157,-0.013903824626815,0.0016949635264043,0.36716045572225,113.51115586677,0.021130589219183,0.32581497226971,0.49519503807197,0.27971534837783,0.0035342629088372,0,0
