time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,tip,tip_adv,tip_cum,top_react
47.962500000003,0.0031015410740889,0.00084371272894239,0.0031062174135077,0.0125,0.070783076004612,0.00046174050780034,0.024108202969235,21.95,0.0125,11.9625,62.724274691249
47.975000000003,0.003100947644875,0.00083294770392976,0.0031054443375892,0.0125,0.070821093087336,0.0004490855178169,0.024142126098515,21.9625,0.0125,11.975,62.73243885589
47.987500000003,0.0031003249003601,0.00082387063847474,0.0031046530482299,0.0125,0.0708591036467,0.00043911744180754,0.024175946621589,21.975,0.0125,11.9875,62.741258368579
48.000000000003,0.0030996558284778,0.00079587388634482,0.003103826468867,0.0125,0.070897107299577,0.00043066217495627,0.024210978061441,21.9875,0.0125,12,62.750308832666
48.012500000003,0.0030989222564733,0.00076366029762269,0.003102946179906,0.0125,0.070935103302073,0.00042178674439206,0.024248415035983,22,0.0125,12.0125,62.759127262962
48.025000000003,0.0030981117217674,0.00074692651597299,0.0031019992444729,0.0125,0.070973090632978,0.00041229781312678,0.02428733078789,22.0125,0.0125,12.025,62.767331202454
48.037500000003,0.0030972222910998,-0.0018651471928187,0.0031009829954457,0.0125,0.07101106816652,0.00043211365863318,0.024081820826133,22.025,0.0125,12.0375,62.774709343982
48.050000000003,0.0030962634276282,-0.00076208436750394,0.003099905908985,0.0125,0.071049034871061,0.00048541328767201,0.024025956933163,22.0375,0.0125,12.05,62.78124925677
48.062500000003,0.0030952525153133,0.0006469616565451,0.0030987841846911,0.0125,0.071086989959922,0.00048633959626398,0.024041585551736,22.05,0.0125,12.0625,62.787091426318
48.075000000003,0.0030942083327331,0.00087043532915392,0.0030976353177194,0.0125,0.071124932938798,0.00047252046513078,0.02407000303093,22.0625,0.0125,12.075,62.79242745165
48.087500000003,0.0030931439547508,0.00087370689541185,0.0030964711204432,0.0125,0.071162863534266,0.00045733863654576,0.024103309120162,22.075,0.0125,12.0875,62.797382143036
48.100000000003,0.0030920617812074,0.0008625301683638,0.003095292865601,0.0125,0.071200781533608,0.00044434807450257,0.024137171236036,22.0875,0.0125,12.1,62.801925143843
48.112500000003,0.0030909525796565,0.00085244413710787,0.0030940904128427,0.0125,0.071238686599532,0.00043452817929963,0.024170589810089,22.1,0.0125,12.1125,62.805845589757
48.125000000003,0.0030897989189587,0.0008229901234079,0.0030928456793983,0.0125,0.07127657813214,0.00042612845414746,0.024205549198366,22.1125,0.0125,12.125,62.808798933573
48.137500000003,0.0030885817342349,0.00078946924076789,0.0030915391918768,0.0125,0.07131445523228,0.00041679229577595,0.024243465890005,22.125,0.0125,12.1375,62.81040812122
48.150000000003,0.0030872875941544,0.00077220148848006,0.003090157298841,0.0125,0.071352316782275,0.00040657402575023,0.024282933159155,22.1375,0.0125,12.15,62.810381257234
48.162500000003,0.0030859139661093,-0.0018498473547492,0.0030886973565924,0.0125,0.071390161615617,0.00042608183893364,0.024076504474513,22.15,0.0125,12.1625,62.80860146937
48.175000000003,0.0030844705154485,-0.00074142574356496,0.0030871689438796,0.0125,0.071427988712992,0.0004797220499552,0.024019845391227,22.1625,0.0125,12.175,62.805154572382
48.187500000003,0.0030829759766856,0.00067468011785011,0.0030855906611456,0.0125,0.071465797351452,0.00048081961555802,0.02403517393109,22.175,0.0125,12.1875,62.800283634413
48.200000000003,0.0030814518244629,0.00090019719810368,0.0030839837562104,0.0125,0.0715035871516,0.0004665839842814,0.024063968267551,22.1875,0.0125,12.2,62.794288086933
48.212500000003,0.0030799151795298,0.00090403292312129,0.0030823650225238,0.0125,0.071541358007445,0.00045055675586641,0.024097914468291,22.2,0.0125,12.2125,62.787406840558
48.225000000003,0.0030783736373907,0.00089272954574643,0.0030807416652722,0.0125,0.071579109928986,0.00043691966441034,0.024132002886237,22.2125,0.0125,12.225,62.779730705324
48.237500000003,0.0030768239321136,0.0008819055331478,0.0030791100497512,0.0125,0.071616842860617,0.00042699921094808,0.024165109125549,22.225,0.0125,12.2375,62.771177308229
48.250000000003,0.0030752548736669,0.00085106780531611,0.0030774587621016,0.0125,0.07165455654699,0.00041872237747211,0.024199741660224,22.2375,0.0125,12.25,62.761537380904
48.262500000003,0.0030736533882508,0.0008158419633464,0.0030757747900576,0.0125,0.071692250499624,0.00040918331007207,0.024237804572234,22.25,0.0125,12.2625,62.750574470635
48.275000000003,0.0030720113320739,0.00079711986985782,0.003074050460209,0.0125,0.071729924079422,0.00039833365262185,0.024277765160426,22.2625,0.0125,12.275,62.738140239803
48.287500000003,0.0030703304615396,-0.00183162976972,0.0030722884763005,0.0125,0.071767576666062,0.00041726438470123,0.024071033282777,22.275,0.0125,12.2875,62.724261252031
