time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
24.5,1.0119346829214e-05,7.6504662801747e-05,1.7683671065444e-05,-2.3436842252929e-06,9.4412898752148e-05,1.9302581975302e-05,57.31931100799,0.07847633349475,0.03118135285448,0.00078438538821297,0.028706616244892,-57.31931100799
25,-6.491381370362e-05,0.00016119270625038,1.8729199937015e-05,-9.6030079705165e-07,1.7435117648069e-05,2.0077613771903e-05,57.006234516025,0.080583423605626,0.031181910641078,0.00073833281256067,0.030853046921384,-57.006234516025
25.5,-8.9256819546946e-05,0.00019819923538358,1.9229262086322e-05,8.1004385656409e-07,-1.5335210461454e-05,2.0322746967672e-05,58.316844249336,0.082818037276277,0.031182495701788,0.00065884781656815,0.033127056384339,-58.316844249336
26,-5.3425262913913e-05,0.00017545026373011,1.9634487203428e-05,2.2907921371028e-06,9.5805385172939e-06,2.0582491569422e-05,61.248534903441,0.085217145087299,0.031183030734352,0.00059554457644069,0.035523982825325,-61.248534903441
26.5,3.2917356628524e-05,9.9542055474383e-05,2.0641875505479e-05,2.7601746170269e-06,8.6460513048069e-05,2.1580410681849e-05,65.330492445013,0.087813545209163,0.031183483141254,0.00056325033139163,0.038075424069513,-65.330492445013
27,0.00014426994503953,-6.2686158128476e-06,2.291829287269e-05,1.7072290104045e-06,0.00019219934776068,2.3946527402214e-05,69.808058567005,0.090626736896647,0.031183876791692,0.0005557725445935,0.040813642832421,-69.808058567005
27.5,0.00024796715160475,-0.00010986250867023,2.6816513244591e-05,-9.788406534483e-07,0.0002946969516337,2.793851293174e-05,73.900505163632,0.093658379077363,0.031184281435384,0.00057338114742979,0.043740901149172,-73.900505163632
28,0.00031487620031238,-0.00018087245671993,3.2247523937236e-05,-4.9548305702618e-06,0.00036401347229518,3.3355816972502e-05,77.038442501165,0.096893630874027,0.031184802563046,0.00062791671184071,0.046834827037166,-77.038442501165
28.5,0.00032833947222372,-0.00020018186163776,3.8692603428781e-05,-9.463771865949e-06,0.00038187855478188,3.9632669088089e-05,79.008438560512,0.10030754790629,0.031185586787921,0.00072265889564031,0.050078076330336,-79.008438560512
29,0.00028866300890325,-0.00016526716207613,4.5345241371443e-05,-1.35119824945e-05,0.00034664619189857,4.6043976322878e-05,79.975254271855,0.10387413841847,0.031186699491797,0.00083464747840875,0.053477484719912,-79.975254271855
