time,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
43,0.011541911324409,-0.0017545762240867,104.75477895599,5.1205741526486e-05,0.11587597868048,0.0015584694778969,0.11054832222051,-104.75477895599
43.5,0.011933760904232,-0.0018104500111515,107.59681065685,5.229949978828e-05,0.12177828474429,0.0015579176103343,0.11636340166475,-107.59681065685
44,0.012326729951029,-0.0018665220821761,110.48880359883,5.3469993315846e-05,0.1278794683561,0.0015576991892532,0.12237571478367,-110.48880359883
44.5,0.012720650504685,-0.0019227731678193,113.42998518134,5.4724068280857e-05,0.1341799768495,0.001557801340078,0.12858575459505,-113.42998518134
45,0.013115376063485,-0.0019791859089242,116.41959254499,5.6069099866565e-05,0.14068017077278,0.0015582100701207,0.134993925858,-116.41959254499
45.5,0.013510779494304,-0.0020357446816285,119.45687386932,5.7513000929051e-05,0.14738033460219,0.0015589107227697,0.14160055575631,-119.45687386932
46,0.013906751034545,-0.0020924354328428,122.54108934131,5.9064222639446e-05,0.15428068635651,0.0015598883487465,0.14840590350392,-122.54108934131
46.5,0.014303196410316,-0.0021492455269746,125.67151183485,6.0731745271497e-05,0.16138138616339,0.0015611280043575,0.15541016891957,-125.67151183485
47,0.014700035086733,-0.00220616360432,128.84742733899,6.252505718401e-05,0.16868254383917,0.0015626149862113,0.16261350002864,-128.84742733899
47.5,0.015097198659181,-0.0022631794511729,132.06813516957,6.4454119990456e-05,0.17618422555038,0.0015643350112257,0.1700159997578,-132.06813516957
48,0.015494629388664,-0.0023202838814278,135.33294799575,6.6529317929185e-05,0.18388645962895,0.0015662743499733,0.17761773179191,-135.33294799575
48.5,0.015892278879943,-0.0023774686292455,138.64119170982,6.8761389569013e-05,0.19178924161417,0.0015684199205874,0.18541872566401,-138.64119170982
49,0.016290106897882,-0.002434726252212,141.99220516529,7.1161340228377e-05,0.19989253859345,0.0015707593495923,0.19341898114887,-141.99220516529
49.5,0.016688080315023,-0.0024920500443239,145.38533980533,7.3740333870987e-05,0.20819629291156,0.0015732810051876,0.20161847202806,-145.38533980533
50,0.017086172181842,-0.0025494339580862,148.81995920062,7.6509563781892e-05,0.21670042531432,0.0015759740077138,0.21001714929145,-148.81995920062
